ecosystem_type,natural,mod_deg,sev_deg,vsev_deg,Total_Area_under_mpa_km2,eco_extent_km2,percent_protected,natural_in_mpa,natural_wd,mod_deg_wd,sev_deg_wd,v_sev_deg_wd,total_perc,perc_pro_cnd,pro_lvl_2019_20,pro_lvl_2019_30,pro_lvl_2025_30,difference_2019_30_20,difference_2019_2025_30
KZN Bight Muddy Shelf Edge,0.187466122,0.671233791,0.00932744,0.131972647,215.8669178,515.7283164,41.85671232,7.846715532,0.187466122,0.335616895,0.002798232,0.013197265,0.539078514,22.56405428,Moderately Protected,Moderately Protected,Moderately Protected,same,same
KZN Bight Outer Shelf Mosaic,0,0.340683178,0.630131279,0.029185543,136.0829347,655.7902292,20.7509854,0,0,0.170341589,0.189039384,0.002918554,0.362299527,7.518072197,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
KZN Bight Sandy Inner Shelf,0,0.550632679,0.040308087,0.409059233,24.54182758,145.8737924,16.82401422,0,0,0.27531634,0.012092426,0.040905923,0.328314689,5.523571,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Kei Fluvial Fan,0,0.786966756,0.133479675,0.079553569,34.03829384,49.0154065,69.4440713,0,0,0.393483378,0.040043903,0.007955357,0.441482637,30.65835175,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Kei Reef Mosaic,0,0.243137615,0.069010741,0.687851644,68.63021082,93.69475991,73.24871838,0,0,0.121568807,0.020703222,0.068785164,0.211057194,15.45966898,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Kingklip Koppies,0,0,0,0,0,642.8586434,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Kingklip Ridge,0,0.285908615,0,0.714091385,103.2236667,103.5904124,99.64596559,0,0,0.142954308,0,0.071409138,0.214363446,21.36045258,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Kosi Coral Community,1,0,0,0,8.042036703,8.042036703,100,100,1,0,0,0,1,100,Well Protected,Well Protected,Well Protected,same,same
Leadsman Coral Community,1,0,0,0,12.49261909,12.49261909,100,100,1,0,0,0,1,100,Well Protected,Well Protected,Well Protected,same,same
Namaqua Exposed Rocky Shore,0.096090925,0.428448424,0.408300327,0.067160324,5.215134931,42.48884929,12.27412608,1.179432125,0.096090925,0.214224212,0.122490098,0.006716032,0.439521267,5.394739451,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Namaqua Kelp Forest,0.198779425,0.569311247,0.231909329,0,1.025116584,7.360090905,13.92804243,2.76860826,0.198779425,0.284655623,0.069572799,0,0.553007847,7.702316752,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Namaqua Mid Shelf Fossils,1,0,0,0,20.04743982,20.06784127,99.89833759,99.89833759,1,0,0,0,1,99.89833759,Well Protected,Well Protected,Well Protected,same,same
Namaqua Mixed Shore,0.123685165,0.429331399,0.1218716,0.325111837,7.423486926,60.65662416,12.23854283,1.51372619,0.123685165,0.214665699,0.03656148,0.032511184,0.407423528,4.986270297,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Namaqua Muddy Mid Shelf Mosaic,1,0,0,0,630.4777217,11762.50687,5.360062517,5.360062517,1,0,0,0,1,5.360062517,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Namaqua Muddy Sands,1,0,0,0,78.35136892,12168.94162,0.643863463,0.643863463,1,0,0,0,1,0.643863463,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Namaqua Sandy Inner Shelf,0.789580989,0.204338014,5.30E-05,0.006027966,152.7548779,760.2463221,20.0928138,15.86490378,0.789580989,0.102169007,1.59E-05,0.000602797,0.892368702,17.93019816,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Namaqua Sandy Mid Shelf,1,0,0,0,145.7479394,2853.160844,5.108297336,5.108297336,1,0,0,0,1,5.108297336,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Namaqua Sheltered Rocky Shore,0.345238095,0.654761905,0,0,0.075722426,1.195892226,6.331877059,2.186005175,0.345238095,0.327380952,0,0,0.672619048,4.258941117,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Namaqua Very Exposed Rocky Shore,0.044776119,0.492537313,0.462686567,0,0.366837877,3.149661557,11.64689826,0.521502907,0.044776119,0.246268657,0.13880597,0,0.429850746,5.006427908,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Natal Boulder Shore,1,0,0,0,0.092727193,0.273372386,33.91973661,33.91973661,1,0,0,0,1,33.91973661,Well Protected,Well Protected,Well Protected,same,same
Natal Deep Shelf Edge,0.482381472,0.505638006,0,0.011980521,465.0397089,1377.222089,33.7665009,16.28833442,0.482381472,0.252819003,0,0.001198052,0.736398527,24.86560154,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Natal Delagoa Dissipative Intermediate Sandy Shore,0.787158329,0.143579165,0.001444043,0.067818463,17.43721185,32.85216499,53.0778165,41.78064534,0.787158329,0.071789582,0.000433213,0.006781846,0.866162971,45.97403921,Well Protected,Well Protected,Well Protected,same,same
Natal Delagoa Dissipative Sandy Shore,0,0,0,0,0,0.705740773,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Natal Delagoa Intermediate Sandy Shore,0.819257022,0.094177597,0.003397188,0.083168192,28.58352189,52.11770985,54.84416328,44.93146591,0.819257022,0.047088799,0.001019156,0.008316819,0.875681797,48.02603544,Well Protected,Well Protected,Well Protected,same,same
Natal Delagoa Reflective Sandy Shore,0.898182665,0.096458527,0,0.005358807,3.868503888,9.43567918,40.99867973,36.82430344,0.898182665,0.048229264,0,0.000535881,0.94694781,38.82360998,Well Protected,Well Protected,Well Protected,same,same
Natal Exposed Rocky Shore,0.877592489,0.063130605,0.040849215,0.018427691,12.82747774,31.43638689,40.80455489,35.80977088,0.877592489,0.031565303,0.012254765,0.001842769,0.923255325,37.67302259,Well Protected,Well Protected,Well Protected,same,same
Natal Lower Canyon,0.892066795,0.107933205,0,0,343.3775489,1308.250458,26.24708036,23.41414886,0.892066795,0.053966602,0,0,0.946033398,24.83061461,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Natal Mixed Shore,0.612639282,0.154831199,0.039946782,0.192582737,27.05987259,69.48135296,38.94551766,23.85955396,0.612639282,0.0774156,0.011984035,0.019258274,0.721297189,28.09129243,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Natal Upper Canyon,0.962666169,0.037333831,0,0,139.9332257,256.1908657,54.62069277,52.58149307,0.962666169,0.018666915,0,0,0.981333085,53.60109292,Well Protected,Well Protected,Well Protected,same,same
Natal Very Exposed Rocky Shore,0.901098901,0,0,0.098901099,0.247917218,0.95876001,25.85811001,23.30071451,0.901098901,0,0,0.00989011,0.910989011,23.55645406,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Orange Cone Inner Shelf Mud Reef Mosaic,0,0,0,0,0,511.0194187,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Orange Cone Muddy Mid Shelf,0,0,0,0,0,1925.363594,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Port St Johns Inner Shelf Mosaic,0,1,0,0,31.29132858,48.54207732,64.46227749,0,0,0.5,0,0,0.5,32.23113875,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Port St Johns Muddy Mid Shelf,0,1,0,0,94.37541002,124.7934088,75.62531622,0,0,0.5,0,0,0.5,37.81265811,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Port St Johns Muddy Shelf Edge,0,1,0,0,89.97470275,129.3821998,69.54179392,0,0,0.5,0,0,0.5,34.77089696,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Protea Mid Shelf Reef Complex,0,1,0,0,15.53953343,15.53953343,100,0,0,0.5,0,0,0.5,50,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Sodwana Coral Community,1,0,0,0,5.964418644,5.964418644,100,100,1,0,0,0,1,100,Well Protected,Well Protected,Well Protected,same,same
Southeast Atlantic Lower Slope,1,0,0,0,391.2428439,86412.88795,0.452759829,0.452759829,1,0,0,0,1,0.452759829,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Southeast Atlantic Mid Slope,0.113273114,0.886726886,0,0,235.9442997,18140.13411,1.300675609,0.147331577,0.113273114,0.443363443,0,0,0.556636557,0.724003593,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Southeast Atlantic Seamount,1,0,0,0,1524.16629,1576.250733,96.69567526,96.69567526,1,0,0,0,1,96.69567526,Well Protected,Well Protected,Well Protected,same,same
Southeast Atlantic Slope Seamount,1,0,0,0,862.7712713,887.9136387,97.16837693,97.16837693,1,0,0,0,1,97.16837693,Well Protected,Well Protected,Well Protected,same,same
Southeast Atlantic Upper Slope,0.259153902,0.685738754,0.052171841,0.002935504,604.2769781,15242.09354,3.964527423,1.02742275,0.259153902,0.342869377,0.015651552,0.00029355,0.617968381,2.449952594,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Southern Benguela Dissipative Intermediate Sandy Shore,0.838036364,0.124290909,0.005090909,0.032581818,12.36256235,51.46684021,24.02044171,20.13000362,0.838036364,0.062145455,0.001527273,0.003258182,0.904967273,21.73771362,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Southern Benguela Dissipative Sandy Shore,0.975245015,0.000337952,0.014447448,0.009969584,10.6571664,26.17989689,40.70744224,39.69973012,0.975245015,0.000168976,0.004334235,0.000996958,0.980745184,39.92362794,Well Protected,Well Protected,Well Protected,same,same
Southern Benguela Intermediate Sandy Shore,0.343952484,0.636069114,0.016198704,0.003779698,1.664272673,32.33656157,5.146721212,1.770227544,0.343952484,0.318034557,0.004859611,0.00037797,0.667224622,3.434019115,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Southern Benguela Muddy Outer Shelf Mosaic,0,0,0,0,0,5574.432367,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Southern Benguela Muddy Shelf Edge,0,0,0.998803094,0.001196906,92.48719551,814.0447555,11.36143865,0,0,0,0.299640928,0.000119691,0.299760619,3.405711882,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Southern Benguela Outer Shelf Mosaic,0.016281948,0.587680613,0.396037439,0,193.4686883,19508.70972,0.991704172,0.016146875,0.016281948,0.293840307,0.118811232,0,0.428933486,0.425375128,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Southern Benguela Reflective Sandy Shore,0.178202068,0.483691329,0.148766905,0.189339698,1.12191395,10.54334033,10.64097255,1.896243318,0.178202068,0.241845664,0.044630072,0.01893397,0.483611774,5.146099613,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Southern Benguela Rocky Shelf Edge,1,0,0,0,329.4808951,2380.688021,13.83973423,13.83973423,1,0,0,0,1,13.83973423,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
