,ecosystem_type,percent_protected,perc_pro_cnd,pro_lvl_2019_20,pro_lvl_2019_30,pro_lvl_2025_30,difference_2019_30_20,difference_2019_2025_30
25,Agulhas Rocky Shelf Edge,16.81222088,15.26565561,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
26,Agulhas Sandy Inner Shelf,36.81529209,23.27282652,Moderately Protected,Moderately Protected,Moderately Protected,same,same
27,Agulhas Sandy Mid Shelf,13.41988024,10.04488133,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
28,Agulhas Sandy Outer Shelf,4.60135393,2.298703131,Poorly Protected,Poorly Protected,Poorly Protected,same,same
29,Agulhas Sheltered Rocky Shore,29.48037033,11.35163685,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
30,Agulhas Stromatolite Mixed Shore,16.09940557,9.976899499,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
31,Agulhas Upper Canyon,53.63569188,37.18942027,Well Protected,Moderately Protected,Moderately Protected,decrease,same
32,Agulhas Very Exposed Rocky Shore,19.04866346,13.07156334,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
33,Agulhas Very Exposed Stromatolite Rocky Shore,18.29875279,17.35587812,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
34,Aliwal Shoal Reef Complex,100,38.52413793,Moderately Protected,Moderately Protected,Moderately Protected,same,same
35,Alphard Bank,100,100,Well Protected,Well Protected,Well Protected,same,same
36,Amathole Hard Shelf Edge,100,60.45139069,Well Protected,Moderately Protected,Moderately Protected,decrease,same
37,Amathole Lace Corals,16.89209339,13.56999992,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
38,Browns Bank Rocky Shelf Edge,12.12954078,2.032231757,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
39,Cape Basin Abyss,1.581075481,1.581075481,Poorly Protected,Poorly Protected,Poorly Protected,same,same
40,Cape Basin Complex Abyss,5.518249451,5.518249451,Poorly Protected,Poorly Protected,Poorly Protected,same,same
41,Cape Bay,27.6790235,5.614574344,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
42,Cape Boulder Shore,51.82324206,22.91596007,Moderately Protected,Moderately Protected,Moderately Protected,same,same
43,Cape Exposed Rocky Shore,39.47538314,18.05144916,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
44,Cape Island,89.2666528,20.18137618,Moderately Protected,Moderately Protected,Moderately Protected,same,same
45,Cape Kelp Forest,54.40788454,11.98257524,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
46,Cape Lower Canyon,0,0,Not Protected,Not Protected,Not Protected,same,same
47,Cape Mixed Shore,26.12107719,13.38107196,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
48,Cape Rocky Inner Shelf,48.17914362,8.103027869,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
49,Cape Rocky Mid Shelf Mosaic,21.72597555,6.827055849,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
50,Cape Sandy Inner Shelf,16.61875715,14.12927044,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
51,Cape Sheltered Rocky Shore,3.448413097,0.431051637,Poorly Protected,Poorly Protected,Poorly Protected,same,same
52,Cape Upper Canyon,17.13279809,7.211075875,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
53,Cape Very Exposed Rocky Shore,61.25015476,44.6886604,Well Protected,Moderately Protected,Moderately Protected,decrease,same
54,Central Agulhas Outer Shelf Mosaic,19.86169735,19.03338673,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
55,Childs Bank Coral,56.74601756,31.04349758,Well Protected,Moderately Protected,Moderately Protected,decrease,same
56,Childs Bank Plateau,56.64108838,54.17402895,Well Protected,Well Protected,Well Protected,same,same
57,Delagoa Deep Shelf Edge,99.99817027,99.99817027,Well Protected,Well Protected,Well Protected,same,same
58,Delagoa Lower Canyon,100,100,Well Protected,Well Protected,Well Protected,same,same
59,Delagoa Mixed Shore,99.99908737,95.61211946,Well Protected,Well Protected,Well Protected,same,same
60,Delagoa Rocky Mid Shelf,100,100,Well Protected,Well Protected,Well Protected,same,same
61,Delagoa Sandy Inner Shelf,99.99980586,99.99980586,Well Protected,Well Protected,Well Protected,same,same
62,Delagoa Sandy Mid Shelf,99.99910985,99.99910985,Well Protected,Well Protected,Well Protected,same,same
63,Delagoa Shelf Edge,99.9993361,99.36291248,Well Protected,Well Protected,Well Protected,same,same
64,Delagoa Upper Canyon,100,100,Well Protected,Well Protected,Well Protected,same,same
65,Delagoa Very Exposed Rocky Shore,100,87.37373737,Well Protected,Well Protected,Well Protected,same,same
66,Durnford Inner Shelf Reef Complex,49.56034869,9.58861091,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
67,Durnford Mid Shelf Reef Complex,79.69371635,37.78265454,Moderately Protected,Moderately Protected,Moderately Protected,same,same
68,Eastern Agulhas Bay,39.63069607,17.34798834,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
69,Eastern Agulhas Outer Shelf Mosaic,6.541650401,4.491679977,Poorly Protected,Poorly Protected,Poorly Protected,same,same
70,False and Walker Bay,22.16360614,4.364370188,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
71,KZN Bight Deep Shelf Edge,12.85314968,4.594043683,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
72,KZN Bight Mid Shelf Mosaic,9.51910586,2.098808657,Poorly Protected,Poorly Protected,Poorly Protected,same,same
73,KZN Bight Mid Shelf Reef Complex,0,0,Not Protected,Not Protected,Not Protected,same,same
74,KZN Bight Muddy Inner Shelf,100,31.48697704,Moderately Protected,Moderately Protected,Moderately Protected,same,same
75,KZN Bight Muddy Shelf Edge,41.85671232,22.56405428,Moderately Protected,Moderately Protected,Moderately Protected,same,same
76,KZN Bight Outer Shelf Mosaic,20.7509854,7.518072197,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
77,KZN Bight Sandy Inner Shelf,16.82401422,5.523571,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
78,Kei Fluvial Fan,69.4440713,30.65835175,Moderately Protected,Moderately Protected,Moderately Protected,same,same
79,Kei Reef Mosaic,73.24871838,15.45966898,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
80,Kingklip Koppies,0,0,Not Protected,Not Protected,Not Protected,same,same
81,Kingklip Ridge,99.64596559,21.36045258,Moderately Protected,Moderately Protected,Moderately Protected,same,same
82,Kosi Coral Community,100,100,Well Protected,Well Protected,Well Protected,same,same
83,Leadsman Coral Community,100,100,Well Protected,Well Protected,Well Protected,same,same
84,Namaqua Exposed Rocky Shore,12.27412608,5.394739451,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
85,Namaqua Kelp Forest,13.92804243,7.702316752,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
86,Namaqua Mid Shelf Fossils,99.89833759,99.89833759,Well Protected,Well Protected,Well Protected,same,same
87,Namaqua Mixed Shore,12.23854283,4.986270297,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
88,Namaqua Muddy Mid Shelf Mosaic,5.360062517,5.360062517,Poorly Protected,Poorly Protected,Poorly Protected,same,same
89,Namaqua Muddy Sands,0.643863463,0.643863463,Poorly Protected,Poorly Protected,Poorly Protected,same,same
90,Namaqua Sandy Inner Shelf,20.0928138,17.93019816,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
91,Namaqua Sandy Mid Shelf,5.108297336,5.108297336,Poorly Protected,Poorly Protected,Poorly Protected,same,same
92,Namaqua Sheltered Rocky Shore,6.331877059,4.258941117,Poorly Protected,Poorly Protected,Poorly Protected,same,same
93,Namaqua Very Exposed Rocky Shore,11.64689826,5.006427908,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
94,Natal Boulder Shore,33.91973661,33.91973661,Well Protected,Well Protected,Well Protected,same,same
95,Natal Deep Shelf Edge,33.7665009,24.86560154,Moderately Protected,Moderately Protected,Moderately Protected,same,same
96,Natal Delagoa Dissipative Intermediate Sandy Shore,53.0778165,45.97403921,Well Protected,Well Protected,Well Protected,same,same
97,Natal Delagoa Dissipative Sandy Shore,0,0,Not Protected,Not Protected,Not Protected,same,same
98,Natal Delagoa Intermediate Sandy Shore,54.84416328,48.02603544,Well Protected,Well Protected,Well Protected,same,same
99,Natal Delagoa Reflective Sandy Shore,40.99867973,38.82360998,Well Protected,Well Protected,Well Protected,same,same
100,Natal Exposed Rocky Shore,40.80455489,37.67302259,Well Protected,Well Protected,Well Protected,same,same
101,Natal Lower Canyon,26.24708036,24.83061461,Well Protected,Moderately Protected,Moderately Protected,decrease,same
102,Natal Mixed Shore,38.94551766,28.09129243,Well Protected,Moderately Protected,Moderately Protected,decrease,same
103,Natal Upper Canyon,54.62069277,53.60109292,Well Protected,Well Protected,Well Protected,same,same
104,Natal Very Exposed Rocky Shore,25.85811001,23.55645406,Well Protected,Moderately Protected,Moderately Protected,decrease,same
105,Orange Cone Inner Shelf Mud Reef Mosaic,0,0,Not Protected,Not Protected,Not Protected,same,same
106,Orange Cone Muddy Mid Shelf,0,0,Not Protected,Not Protected,Not Protected,same,same
107,Port St Johns Inner Shelf Mosaic,64.46227749,32.23113875,Moderately Protected,Moderately Protected,Moderately Protected,same,same
108,Port St Johns Muddy Mid Shelf,75.62531622,37.81265811,Moderately Protected,Moderately Protected,Moderately Protected,same,same
109,Port St Johns Muddy Shelf Edge,69.54179392,34.77089696,Moderately Protected,Moderately Protected,Moderately Protected,same,same
110,Protea Mid Shelf Reef Complex,100,50,Moderately Protected,Moderately Protected,Moderately Protected,same,same
111,Sodwana Coral Community,100,100,Well Protected,Well Protected,Well Protected,same,same
112,Southeast Atlantic Lower Slope,0.452759829,0.452759829,Poorly Protected,Poorly Protected,Poorly Protected,same,same
113,Southeast Atlantic Mid Slope,1.300675609,0.724003593,Poorly Protected,Poorly Protected,Poorly Protected,same,same
114,Southeast Atlantic Seamount,96.69567526,96.69567526,Well Protected,Well Protected,Well Protected,same,same
115,Southeast Atlantic Slope Seamount,97.16837693,97.16837693,Well Protected,Well Protected,Well Protected,same,same
116,Southeast Atlantic Upper Slope,3.964527423,2.449952594,Poorly Protected,Poorly Protected,Poorly Protected,same,same
117,Southern Benguela Dissipative Intermediate Sandy Shore,24.02044171,21.73771362,Well Protected,Moderately Protected,Moderately Protected,decrease,same
118,Southern Benguela Dissipative Sandy Shore,40.70744224,39.92362794,Well Protected,Well Protected,Well Protected,same,same
119,Southern Benguela Intermediate Sandy Shore,5.146721212,3.434019115,Poorly Protected,Poorly Protected,Poorly Protected,same,same
120,Southern Benguela Muddy Outer Shelf Mosaic,0,0,Not Protected,Not Protected,Not Protected,same,same
121,Southern Benguela Muddy Shelf Edge,11.36143865,3.405711882,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
122,Southern Benguela Outer Shelf Mosaic,0.991704172,0.425375128,Poorly Protected,Poorly Protected,Poorly Protected,same,same
123,Southern Benguela Reflective Sandy Shore,10.64097255,5.146099613,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
124,Southern Benguela Rocky Shelf Edge,13.83973423,13.83973423,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
125,Southern Benguela Sandy Outer Shelf,2.012210698,1.739993141,Poorly Protected,Poorly Protected,Poorly Protected,same,same
126,Southern Benguela Sandy Shelf Edge,2.896217288,2.884483708,Poorly Protected,Poorly Protected,Poorly Protected,same,same
127,Southern Benguela Shelf Edge Mosaic,0.011884325,0.011884325,Not Protected,Not Protected,Not Protected,same,same
128,Southern KZN Inner Shelf Mosaic,38.74521948,6.22672652,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
129,Southern KZN Mid Shelf Mosaic,48.60747959,21.2699423,Moderately Protected,Moderately Protected,Moderately Protected,same,same
130,Southern KZN Shelf Edge Mosaic,57.88878221,45.48197893,Well Protected,Well Protected,Well Protected,same,same
131,Southwest Indian Lower Slope,0.408313101,0.383162759,Poorly Protected,Poorly Protected,Poorly Protected,same,same
132,Southwest Indian Mid Slope,9.398519401,9.194154792,Poorly Protected,Poorly Protected,Poorly Protected,same,same
133,Southwest Indian Seamount,55.88249612,55.88249612,Well Protected,Well Protected,Well Protected,same,same
134,Southwest Indian Slope Seamount,0,0,Not Protected,Not Protected,Not Protected,same,same
135,Southwest Indian Upper Slope,25.88897571,24.88088201,Well Protected,Moderately Protected,Moderately Protected,decrease,same
136,St Helena Bay,0.08382563,0.042280875,Not Protected,Not Protected,Not Protected,same,same
137,St Lucia Mid Shelf Mosaic,100,100,Well Protected,Well Protected,Well Protected,same,same
138,St Lucia Sandy Inner Shelf,75.87254028,73.86947821,Well Protected,Well Protected,Well Protected,same,same
139,St Lucia Sandy Mid Shelf,46.05664193,26.05374934,Moderately Protected,Moderately Protected,Moderately Protected,same,same
140,Trafalgar Reef Complex,32.92207717,4.856217175,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
141,Transkei Basin Abyss,0,0,Not Protected,Not Protected,Not Protected,same,same
142,Western Agulhas Bay,3.098067377,1.917469432,Poorly Protected,Poorly Protected,Poorly Protected,same,same
143,Western Agulhas Outer Shelf Mosaic,0,0,Not Protected,Not Protected,Not Protected,same,same
144,Wild Coast Inner Shelf Mosaic,46.16870401,23.10604699,Moderately Protected,Moderately Protected,Moderately Protected,same,same
145,Wild Coast Mid Shelf Mosaic,38.56933292,32.38575813,Well Protected,Moderately Protected,Moderately Protected,decrease,same
146,Wild Coast Shelf Edge Mosaic,23.32613671,22.49502654,Well Protected,Moderately Protected,Moderately Protected,decrease,same
147,uThukela Canyon,0,0,Not Protected,Not Protected,Not Protected,same,same
148,uThukela Mid Shelf Mosaic,91.60322104,21.98075977,Moderately Protected,Moderately Protected,Moderately Protected,same,same
149,uThukela Mid Shelf Mud Coarse Sediment Mosaic,100,32.33047222,Moderately Protected,Moderately Protected,Moderately Protected,same,same
150,uThukela Outer Shelf Muddy Reef Mosaic,96.79262302,48.02501253,Moderately Protected,Moderately Protected,Moderately Protected,same,same
